SO Name,Brill Master 2013_2013,,,,,,,,,,,,,,,,,,,
SO Identifier,brill_master_2013_2013,,,,,,,,,,,,,,,,,,,
Provider,Brill,,,,,,,,,,,,,,,,,,,
Package Identifier,2013 Master,,,,,,,,,,,,,,,,,,,
Package Name,2013 Master,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2013,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2013,,,,,,,,,,,,,,,,,,,
Consortium,,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,2,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
Journal for the Study of Judaism,0047-2212,1570-0631,1970-01,1,1,,,,15700631,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/15700631,Brill Online Books and Journals,administrative,
Journal for the Study of the Historical Jesus,1476-8690,1745-5197,2003-01,1,1,,,,17455197,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/17455197,Brill Online Books and Journals,administrative,
Journal of American-East Asian Relations,1058-3947,1876-5610,1992-01,1,1,,,,18765610,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/18765610,Brill Online Books and Journals,administrative,
Journal of Ancient Near Eastern Religions,1569-2116,1569-2124,2001-01,1,1,,,,15692124,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/15692124,Brill Online Books and Journals,administrative,
Journal of Arabic Literature,0085-2376,1570-064x,1970-01,1,1,,,,1570064x,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/1570064x,Brill Online Books and Journals,administrative,
Journal of Chinese Military History,2212-7445,2212-7453,2012-01,1,1,,,,22127453,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/22127453,Brill Online Books and Journals,administrative,
Journal of Chinese Overseas,1793-0391,1793-2548,2005-05,1,1,,,,17932548,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/17932548,Brill Online Books and Journals,administrative,
Journal of Cognition and Culture,1567-7095,1568-5373,2001-02,1,1,,,,15685373,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/15685373,Brill Online Books and Journals,administrative,
Journal of Crustacean Biology,0278-0372,1937-240X,1983-01,3,3,,,,1937240x,,full text,until 2013 in BioOne (part of NESLI2 2012 deal). All issues previously hosted on BioOne from inactive titles will remain accessible to subscribers in perpetuity,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/1937240x,Brill Online Books and Journals,administrative,
Journal of Early American History,1877-0223,1877-0703,2011-03,1,1,,,,18770703,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/18770703,Brill Online Books and Journals,administrative,
Journal of Early Modern History,1385-3783,1570-0658,1997-01,1,1,,,,15700658,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/15700658,Brill Online Books and Journals,administrative,
Journal of Egyptian History,1874-1657,1874-1665,2008-03,1,1,,,,18741665,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/18741665,Brill Online Books and Journals,administrative,
Journal of Empirical Theology,0922-2936,1570-9256,1988-01,1,1,,,,15709256,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/15709256,Brill Online Books and Journals,administrative,
Journal of Greek Linguistics,1566-5844,1569-9846,2000-03,1,1,,,,15699846,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/15699846,Brill Online Books and Journals,administrative,
Journal of International Humanitarian Legal Studies,1878-1373,1878-1527,2010-10,1,1,,,,18781527,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/18781527,Brill Online Books and Journals,administrative,
Journal of International Peacekeeping,1875-4104,1875-4112,1994-01,1,1,,,,18754112,,full text,formerly International Peacekeeping,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/18754112,Brill Online Books and Journals,administrative,
Journal of Islamic Manuscripts,1878-4631,1878-464x,2010-01,1,1,,,,1878464x,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/1878464x,Brill Online Books and Journals,administrative,
Journal of Jewish Languages ,2213-4387,2213-4638,,,,,,,22134638,,full text,new 2013. no online content yet available,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/22134638,Brill Online Books and Journals,administrative,
Journal of Language Contact,1877-4091,1955-2629,2007-06,1,1,,,,19552629,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/19552629,Brill Online Books and Journals,administrative,
"Journal of Law, Religion and State",2212-6465,2212-4810,2012-01,1,1,,,,22124810,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/22124810,Brill Online Books and Journals,administrative,
Journal of Modern Russian History and Historiography,1947-9956,2210-2388,2008-01,1,1,,,,22102388,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/22102388,Brill Online Books and Journals,administrative,
Journal of Moral Philosophy,1740-4681,1745-5243,2004-04,1,1,,,,17455243,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/17455243,Brill Online Books and Journals,administrative,
Journal of Muslims in Europe,2211-792X,2211-7954,2012-01,1,1,,,,22117954,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/22117954,Brill Online Books and Journals,administrative,
