"Title"	"Author(s)"	"Editor(s)"	"Importance"	"ISBN10"	"ISBN13"	"Date of Publication"	"Publisher"	"Web Address"	"Time Period"	"CKEY"
"Cinemas of the other: a personal journey with film-makers from the Middle East and Central Asia"	"DoÌˆnmez-Colin, GoÌˆnuÌˆl"		"Essential reading"		9781841509617	2006	"Intellect"	"https://www.dawsonera.com/guard/protected/dawson.jsp?name=https://idp.mmu.ac.uk/shibboleth&dest=http://www.dawsonera.com/depp/reader/protected/external/AbstractView/S9781841509617"	1516	
"Contraception today: a pocketbook for general practitioners and practice nurses"	"Guillebaud; John"		"Essential reading"		9781841849126	2012	"Informa Healthcare"	"https://www.dawsonera.com/guard/protected/dawson.jsp?name=https://idp.mmu.ac.uk/shibboleth&dest=http://www.dawsonera.com/depp/reader/protected/external/AbstractView/S9781841849126"	1516	
"Cultural criminology unleashed"	"Ferrell; Jeff"		"Essential reading"		9781843146339	2004	"GlassHouse"	"https://www.dawsonera.com/guard/protected/dawson.jsp?name=https://idp.mmu.ac.uk/shibboleth&dest=http://www.dawsonera.com/depp/reader/protected/external/AbstractView/S9781843146339"	1516	
"The nature of economic growth: an alternative framework for understanding the performance of nations"	"Thirlwall, A. P."		"Items for purchase"		9781843767466	"c2002"	"Edward Elgar"	"https://www.dawsonera.com/guard/protected/dawson.jsp?name=https://idp.mmu.ac.uk/shibboleth&dest=http://www.dawsonera.com/depp/reader/protected/external/AbstractView/S9781843767466"	1516	
"Comparative histories of crime"	"Godfrey, Barry S.; Emsley, Clive; Dunstall, Graeme"		"Essential reading"		9781843924319	2003	"Willan Publishing"	"https://www.dawsonera.com/guard/protected/dawson.jsp?name=https://idp.mmu.ac.uk/shibboleth&dest=http://www.dawsonera.com/depp/reader/protected/external/AbstractView/S9781843924319"	1516	
"Gender and policing: sex, power and police culture"	"Westmarland, Louise"		"Essential reading"		9781843924517	2001	"Willan"	"https://www.dawsonera.com/guard/protected/dawson.jsp?name=https://idp.mmu.ac.uk/shibboleth&dest=http://www.dawsonera.com/depp/reader/protected/external/AbstractView/S9781843924517"	1516	
"Policing, race and racism"	"Rowe, Michael"		"Essential reading"		9781843924685	2004	"Willan"	"https://www.dawsonera.com/guard/protected/dawson.jsp?name=https://idp.mmu.ac.uk/shibboleth&dest=http://www.dawsonera.com/depp/reader/protected/external/AbstractView/S9781843924685"	1516	
"What works with women offenders"	"Sheehan, Rosemary; McIvor, Gill; Trotter, Chris"		"Essential reading"		9781843924944	2007	"Willan Publishing"	"https://www.dawsonera.com/guard/protected/dawson.jsp?name=https://idp.mmu.ac.uk/shibboleth&dest=http://www.dawsonera.com/depp/reader/protected/external/AbstractView/S9781843924944"	1516	
"Women and punishment: the struggle for justice"	"Carlen, Pat"		"Essential reading"		9781843924951	2002	"Willan Pub"	"https://www.dawsonera.com/guard/protected/dawson.jsp?name=https://idp.mmu.ac.uk/shibboleth&dest=http://www.dawsonera.com/depp/reader/protected/external/AbstractView/S9781843924951"	1516	
"Young people, crime and justice"	"Burke, Roger Hopkins"		"Essential reading"		9781843925361	2008	"Willan"	"https://www.dawsonera.com/guard/protected/dawson.jsp?name=https://idp.mmu.ac.uk/shibboleth&dest=http://www.dawsonera.com/depp/reader/protected/external/AbstractView/S9781843925361"	1516	
"Crimes against nature: environmental criminolgy and ecological justice"	"White, R. D."		"Essential reading"		9781843925675	2008	"Willan"	"https://www.dawsonera.com/guard/protected/dawson.jsp?name=https://idp.mmu.ac.uk/shibboleth&dest=http://www.dawsonera.com/depp/reader/protected/external/AbstractView/S9781843925675"	1516	
"Environmental criminology and crime analysis"	"Wortley, Richard; Mazerolle, Lorraine Green"		"Essential reading"		9781843925682	2008	"Willan Publishing"	"https://www.dawsonera.com/guard/protected/dawson.jsp?name=https://idp.mmu.ac.uk/shibboleth&dest=http://www.dawsonera.com/depp/reader/protected/external/AbstractView/S9781843925682"	1516	
"Addressing offending behaviour: context, practice and values"	"Green, Simon; Lancaster, Elizabeth; Feasey, Simon"		"Essential reading"		9781843925705	2008	"Willan Publishing"	"https://www.dawsonera.com/guard/protected/dawson.jsp?name=https://idp.mmu.ac.uk/shibboleth&dest=http://www.dawsonera.com/depp/reader/protected/external/AbstractView/S9781843925705"	1516	
