SO Name,Wiley Online Library Full Collection 2012_2014 NESLI2,,,,,,,,,,,,,,,,,,,
SO Identifier,wiley_Full Collection_2012_2014_Nesli2,,,,,,,,,,,,,,,,,,,
Provider,Wiley,,,,,,,,,,,,,,,,,,,
Package Identifier,Full Collection,,,,,,,,,,,,,,,,,,,
Package Name,Full Collection,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2012,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2014,,,,,,,,,,,,,,,,,,,
Consortium,NESLI2,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,2,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
ALLERGY,0105-4538,1398-9995,1997,52,,,,,,,,free back issues after 2 years back to Jan 1st 1997,,10.1111/(ISSN)1398-9995,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1398-9995,Wiley Online Library,administrative,
ALTERNATIVES TO THE HIGH COST OF LITIGATION,1549-4373,1549-4381,1997,,,,,,,,,,,10.1002/(ISSN)1549-4381,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1549-4381,Wiley Online Library,administrative,
AMERICAN ANTHROPOLOGIST,0002-7294,1548-1433,1997,99,,,,,,,,,,10.1111/(ISSN)1548-1433,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1548-1433,Wiley Online Library,administrative,
AMERICAN BUSINESS LAW JOURNAL,0002-7766,1744-1714,1997,34,,,,,,,,,,10.1111/(ISSN)1744-1714,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1744-1714,Wiley Online Library,administrative,
AMERICAN ETHNOLOGIST,0094-0496,1548-1425,1997,24,,,,,,,,,,10.1111/(ISSN)1548-1425,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1548-1425,Wiley Online Library,administrative,
AMERICAN JOURNAL OF ECONOMICS AND SOCIOLOGY,0002-9246,1536-7150,1997,56,,,,,,,,,,10.1111/(ISSN)1536-7150,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1536-7150,Wiley Online Library,administrative,
AMERICAN JOURNAL OF HEMATOLOGY,0361-8609,1096-8652,1997,,,,,,,,,free back issues after 1 year back to 1998,,10.1002/(ISSN)1096-8652,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1096-8652,Wiley Online Library,administrative,
AMERICAN JOURNAL OF HUMAN BIOLOGY,1042-0533,1520-6300,1997,,,,,,,,,,,10.1002/(ISSN)1520-6300,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1520-6300,Wiley Online Library,administrative,
AMERICAN JOURNAL OF INDUSTRIAL MEDICINE,0271-3586,1097-0274,1997,,,,,,,,,,,10.1002/(ISSN)1097-0274,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1097-0274,Wiley Online Library,administrative,
AMERICAN JOURNAL OF MEDICAL GENETICS,1552-4868,1552-4833,1997,,,,,,,,,,,10.1002/(ISSN)1552-4876,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1552-4876,Wiley Online Library,administrative,
AMERICAN JOURNAL OF ORTHOPSYCHIATRY,0002-9432,1939-0025,1997,67,,,,,,,,,,10.1111/(ISSN)1939-0025,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1939-0025,Wiley Online Library,administrative,
