publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Northern and Insular Scots	9780748623167	9780748629961							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748629961	Millar	CBO9780748629961		fulltext		Edinburgh University Press	Monograph	2007-01-26 00:00:00	2012-09-12 00:00:00	0	1				P
Not Half No End	9780748639854	9780748642236							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748642236	Bennington	CBO9780748642236		fulltext		Edinburgh University Press	Monograph	2010-02-10 00:00:00	2012-09-12 00:00:00	0	1				P
Of Jews and Animals	9780748640539	9780748642311							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748642311	Benjamin	CBO9780748642311		fulltext		Edinburgh University Press	Monograph	2010-04-08 00:00:00	2012-09-12 00:00:00	0	1				P
Of Laws of Ships and Shipmen	9780748646241	9780748668076							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748668076	Frankot	CBO9780748668076		fulltext		Edinburgh University Press	Monograph	2012-08-27 00:00:00	2013-08-05 00:00:00	0	1				P
On Art and War and Terror	9780748639151	9780748641383							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748641383	Danchev	CBO9780748641383		fulltext		Edinburgh University Press	Monograph	2009-07-06 00:00:00	2012-09-12 00:00:00	0	1				P
Open Subjects	9780748642533	9780748647101							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748647101	Kuzner	CBO9780748647101		fulltext		Edinburgh University Press	Monograph	2011-06-28 00:00:00	2012-09-12 00:00:00	0	1				P
Our Nazis	9780748668649	9780748668656							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748668656	Rau	CBO9780748668656		fulltext		Edinburgh University Press	Monograph	2013-05-20 00:00:00	2013-10-05 00:00:00	0	1				P
Palestinian Cinema	9780748634071	9780748634095							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748634095	Gertz/Khleifi	CBO9780748634095		fulltext		Edinburgh University Press	Monograph	2008-01-15 00:00:00	2013-08-05 00:00:00	0	1				P
Pascual de Gayangos	9780748635474	9780748635481							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748635481	Millan/Heide	CBO9780748635481		fulltext		Edinburgh University Press	Monograph	2008-11-03 00:00:00	2012-09-12 00:00:00	0	1				P
Phenomenology or Deconstruction?	9780748637591	9780748637607							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748637607	Watkin	CBO9780748637607		fulltext		Edinburgh University Press	Monograph	2009-03-03 00:00:00	2012-09-12 00:00:00	0	1				P
Philanthropy in British and American Fiction	9780748625086	9780748630745							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748630745	Christianson	CBO9780748630745		fulltext		Edinburgh University Press	Monograph	2007-11-28 00:00:00	2012-09-12 00:00:00	0	1				P
Philosophy Outside-In	9780748684557	9780748684564							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748684564	Norris	CBO9780748684564		fulltext		Edinburgh University Press	Monograph	2013-08-23 00:00:00	2014-03-05 00:00:00	0	1				P
Philosophy and Love	9780748623679	9780748637768							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748637768	Secomb	CBO9780748637768		fulltext		Edinburgh University Press	Monograph	2007-05-11 00:00:00	2012-09-12 00:00:00	0	1				P
Philosophy of International Law	9780748622559	9780748628131							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748628131	Carty	CBO9780748628131		fulltext		Edinburgh University Press	Monograph	2007-03-11 00:00:00	2012-09-12 00:00:00	0	1				P
Political Discourse and National Identity in Scotland	9780748637362	9780748647118							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748647118	Leith/Soule	CBO9780748647118		fulltext		Edinburgh University Press	Monograph	2011-06-08 00:00:00	2013-08-05 00:00:00	0	1				P
Politics of Nostalgia in the Arabic Novel	9780748655694	9780748655700							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748655700	Gertz	CBO9780748655700		fulltext		Edinburgh University Press	Monograph	2013-01-22 00:00:00	2013-08-05 00:00:00	0	1				P
Politics of the Gift	9780748642021	9780748646074							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748646074	Moore	CBO9780748646074		fulltext		Edinburgh University Press	Monograph	2011-04-25 00:00:00	2012-09-12 00:00:00	0	1				P
Politics on the Edges of Liberalism	9780748625116	9780748630769							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748630769	Arditi	CBO9780748630769		fulltext		Edinburgh University Press	Monograph	2007-01-10 00:00:00	2012-09-12 00:00:00	0	1				P
Portmahomack	9780748624416	9780748630462							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748630462	Garver	CBO9780748630462		fulltext		Edinburgh University Press	Monograph	2008-07-03 00:00:00	2013-08-05 00:00:00	0	1				P
